,Title,Company,Location,Job Description,When Posted
114,"Senior Data Scientist, Ecommerce - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Develop data pipelines and dashboards to enhance data infrastructure.,Posted 30+ days ago·
115,DATA SCIENTIST,County of Los Angeles,"Los Angeles, CA 90010",Develops relationships with local academic data science programs to foster recruitment of data science interns and is responsible for overseeing their work on…,Posted 30+ days ago·
116,"Analyst, Network Strategy, Pricing & Analytics - REMOTE",Molina Healthcare,"Remote in Long Beach, CA 90802",3+ years increasingly complex database and data management responsibilities.,Posted 30+ days ago·
117,"Data Scientist, Investigations and Insights, Trust and Safety - USDS",TikTok,"Los Angeles, CA",Help mentor a team of data scientists and data analysts to execute team roadmap.,Posted 30+ days ago·
118,Director of Marketing,AE Studio,"Los Angeles, CA","Oversee content creation and distribution, especially in the areas of software, data science, and AI.",Posted 30+ days ago·
119,Solutions Architect (Artificial Intelligence),"Tentek, Inc.","Hybrid remote in Culver City, CA 90232","Collaborate with data scientists and engineers to collect, clean, and prepare data for AI model training and evaluation.",Active 5 days ag
120,"Sr. Data Scientist, Marketing Analytics - LTV",Match Group,"Hybrid remote in Los Angeles, CA",3 years of experience in data scripting in Python or R.,Posted 30+ days ago·
121,"Manager, Commerce Analytics - Subscriber Lifecycle Analytics",Disney Direct to Consumer,"Santa Monica, CA",Experience manipulating large data sets and interpreting data trends using a multitude of disparate data sources and tools.,Posted 30+ days ago·
122,Senior Project Engineer,BOEING,"Long Beach, CA","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 2 days ago·
123,Project Controls Manager,KKCS,"Hybrid remote in Los Angeles, CA 90017",KKCS seeks a highly experienced project controls manager with expertise in construction or project management and data mining for a full-time opportunity in…,Posted 30+ days ago·
124,Artificial Intelligence modelling of Europa’s Space Environment and Ionosphere,National Aeronautics and Space Administration...,"Pasadena, CA","The project will utilize in-situ data from Voyager, Galileo, and Juno, in preparation for the upcoming Europa Clipper and JUICE missions.",Posted 9 days ago·
125,"Machine Learning Architect, Creativity Apps",Apple,"Culver City, CA",Experience in building end-to-end ML pipeline from data ingestion to feature engineering to model training to deploying and scaling the model in production.,Posted 4 days ago·
126,Account Manager,Plat.AI,"Glendale, CA 91203","Your primary focus will be on providing excellent support to clients, ensuring they have a seamless experience while using our AI platform.",Posted 3 days ago·
127,Director of Partnerships,STRV,"Los Angeles, CA 90291","Lead from the front, exemplifying independence, strategic thinking and decision-making in all parts of the sales cycle while helping their team do the same.",Posted 30+ days ago·
128,"Analytics Lead, Wondery",Wondery LLC - L79,"Culver City, CA","Master's degree in statistics, data science, or an equivalent quantitative field.",Posted 11 days ago·
129,"Technical Artist, Synthetic Data",Meta,"Los Angeles, CA 90066 ",Work closely with data partner teams to translate ML model training results into actionable improvements in synthetic data simulation.,Posted 30+ days ago·
130,Senior Manager Planning & Analytics - Domestic Sales,Anastasia Beverly Hills,"Beverly Hills, CA 90210","Solid experience with data visualization tools (i.e., Power BI) preferred.",Posted 5 days ago·
131,Postdoctoral Scientist - Smidt Heart Institute - Karlstaedt Lab,Springer Nature,"Los Angeles, CA 90048","Expertise in biological data science and data-driven discovery, scientific programming and omics data analysis, genetics will also be beneficial, as is…",Posted 20 days ago·
132,"Scientific Data Analyst, Sr. / Heart Institute Research",Children's Hospital Los Angeles,"Los Angeles, CA",To establish and support a data server and facilitate web-based user access to data.,Posted 30+ days ago·
133,"Data Science Manager, Marketing Mix Model",FanDuel,"Los Angeles, CA",FanDuel is looking for a data science manager to lead the team developing and evolving our internal Marketing Mix Model.,Posted 30+ days ago·
134,Machine Learning in Survey Cosmology,National Aeronautics and Space Administration...,"Pasadena, CA",These applications could notably enhance astronomical measurements from combined data sets.,Posted 9 days ago·
135,Marketing Insights Research - Reality Labs VR/AR,Meta,"Los Angeles, CA 90066 ","6+ years of experience with extensive background in quantitative and qualitative research, including hands-on experience in survey/discussion guide and data…",Posted 30+ days ago·
